"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","firstcharacter","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62","chapterbody 63"
"目录","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c999","序 打开宝库之门(序)","001 秘密口诀是精华","002 最最最大的口诀","003 见地与修心","004 我们去看一场戏","005 心安就是平安","006 开悟之后的改变","007 佛性是自然显现的","008 般若的最终极","009 忘忘忘忘忘","010 空、明、乐的三部曲","011 瑜伽念诵法","012 密教相应瑜伽的特色","013 大瑜伽的秘密","014 召请与观想、咒印","015 虚幻中的虚幻","016 “无所谓”是口诀","017 修法的基本模式","018 大礼拜有何利益","019 由一变多的供养秘密","020 开启慧命之门","021 诵金刚萨埵咒","022 赤子之心","023 什么是最大福田","024 眞空的法尔本然","025 密教圆满次第的前导","026 从“气”入中脉到正觉“佛果”","027 修守护轮(之一)","028 修守护轮(之二)","029 睡觉与起床","030 舍弃自己的身体","031 坐一支香","032 明点微细的口诀","033 令“心”安住的方法","034 姿势的口诀(修身)","035 有关于“灌顶”的口诀","036 “吽”字的清净法(修语)","037 大悲咒的深见(修语)","038 明空的大智大慧(修意)","039 六道习气的断除","040 觉受光明的口诀","041 智慧光明","042 守护“开悟”达到“坚固”","043 三种虚空的口诀","044 亲证佛性口诀","045 卢胜彦的胜义口诀之一","046 卢胜彦的胜义口诀之二","047 卢胜彦的胜义口诀之三","048 卢胜彦的胜义口诀之四","049 卢胜彦的胜义口诀之五","050 莲诃上师的信","","","","","","","","","","","","",""
"序 打开宝库之门(序)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c000","这本书里，我要告诉大家的是：","我就是这本书里的男主角，我就是宝库。","","为什么是宝库？我告诉大家几个原因：","其一：","我是天赋。","当我的天眼打开了，我看见自己原来是“莲花童子”，又到了“摩诃双莲池”，那是莲花童子的净土。","我写偈：","法身原在天外天，","古塔舍利却在前；","只为人间大事业，","化身僧人且流连。","","莲花童子是谁？是莲花手菩萨、项光童子、宝意童子、宝上童子、白莲花王、大白莲花童子……。","是“华光自在佛”。","由于有这种天赋，所以我是宝库。","","其二：","我是相应者。","我具备了修行的缘分，修“资粮道”、修“加行道”、修“见道”、修“眞道”、修“究竟道”。","密教修“生起次第”圆满。","密教修“圆满次第”圆满。","相应了“加行法”、“上师法”、“本尊法”、“金刚法”、“无上密”、“大圆满”。","","我这一生，只有“修行”、“写作”、“弘法”。","我相应了“瑶池金母”、“阿弥陀佛”、“地藏菩萨”……。","由于我是相应者，所以我是宝库。","","其三：","我是明心者。","明心就是开悟，我明白“一切有为法，如梦幻泡影，如露亦如电，应作如是观”。我明白“过去心不可得”、“现在心不可得”、“未来心不可得”，根本无所得。","我明白“空性”。","我明白“灭寂”。","我明白“天上天下，唯我独尊”。","我明心之后，知道原来是一元，不是二元对立；是绝对，而非相对。","明心之后，万念皆寂，一切皆泯。这才是普空寂，这才是恒在、不审。","这种大智慧，少人知之，所以我是宝库。","","其四：","我是见性者。","“明心”是理上的，而“见性”是事上的。","理是理论，事是实修。","佛门广大，教派繁多，各宗各派，皆有各自的修持法门。以密教来说，“大圆满”、“大手印”、“大威德”、“大圆胜慧”这四大法，我均潜修四十年。","我见证佛性。","这种“见证佛性”，世间少有，所以我是宝库。","","最后，我要告诉大家的是：","在我的“慧眼”之中，人间、生命、宇宙、因果、轮回、涅槃、一切一切，全是一个“大梦幻”。","","我找到的，是佛法的终极，到了终极，连佛法也不是。我有无穷尽的神通及微妙的觉受，所以我的智慧，使我一生无憾！","您若读了这本书。","在","您也会一生无憾。","赞叹啊！","赞！","莲生活佛卢胜彦联络处：","Sheng-yen Lu","17102 NE 40th Ct.,","Redmond, WA 98052","U. S. A.","编者注：本有声书系由星空录制","","",""
"001 秘密口诀是精华","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c001","讲一个笑话吧！笑话是这样的：","“如果你说『有』呢？”","熄灯后，朱太太喋喋不休的讲了一些家庭的琐事，朱先生连吭都不吭一声。过了好一阵子，朱太太盯着丈夫说：","“都是我说，不公平，换你来说几句，我来听。”","我答：","朱先生点点头，说：","“好！我说。时间不早了，睡觉吧！”","哈哈哈！","“有也在空中。”","我说：","朱先生的一句话，是“精华”，是“口诀”，睡觉时间到了，就睡觉吧！","这本书不是长篇大论的理论，我也不用那深奥的佛学术语，不是训话说教，我只是想把自己的修行心得，用最简易的语言，说了出来而已。","去其枝枝叶叶。","直达眞实心意。","话不多。","但精要。","空有具泯！","例如：","有弟子问：","“卢师尊这一生来人间，做什么？”","我答：","“度众！”","","弟子问：","“如果有人不信？”","我答：","“大声疾呼！”","","弟子问：","“如果有人信？”","我答：","“大声疾呼！”","","弟子问：","“怎么都是大声疾呼？”","我答：","“都是大声疾呼！”","","弟子问：","“还有呢？”","我答：","“没有了！”","哈哈哈！我来这人间，就是“大声疾呼”，其他没有了，这就是口诀。","","弟子问：","“卢师尊为什么要大声疾呼？你是疯子吗？”","我答：","“我是明心见性的悟者，而众生在迷中，悟者要唤醒迷者。”","","弟子问：","“你是疯子吗？”","先","我答：","“是的。在众生的眼中，我是疯子法王，疯行者。”","","“你是悟者，谁能证明你？”","我答：","“没有人能证明我是悟者，除了虚空，我证悟了虚空，虚空也证明了我，这就是我的自灯明，法灯明。”","","我告诉大家，我的口诀是：","它简单。","弟子问：","“虚空”。","它澄明。"
"002 最最最大的口诀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c002","先讲个笑话吧！","有一个人到了面店，去吃一碗牛肉面，他发现面里没有牛肉。","他问老板：","“老板！老板！牛肉面里没有牛肉哟！”","老板理直气壮的回答：","“你吃太阳饼，太阳饼里有太阳吗？”","客人：","“……。”","哈哈哈！","这则笑话，是有很深奥的含意，这里面出现了“最最最大的口诀”。","","我过去常说：","太阳饼里没有太阳。","月饼里没有月亮。","老婆饼里没有老婆。","(最近，台湾发生了“食油”事件，橄榄油里没有橄榄、芝麻油里没有芝麻、花生油里没有花生、辣椒油里没有辣椒…..。)","","这个口诀是：","“没有、没有、没有”，也就是“无、无、无”，亦是“空、空、空”。","","由此，我常常引伸到月球上，月球上有什么？月球上没有人，月球上没有汽车、房子。什么都没有，月球上没有权位，没有金钱，没有美色。","","我问：","什么是善？什么是恶？什么是对？什么是错？什么是佛？什么是魔？什么是喜？什么是怒？什么是正？什么是邪？…..在月球上。","","我告诉大家：","“一切是一片澄明且宁静的大海。”","这就是“泯心泯境”。","","这个口诀就是：","地球上的人及万事万物，大家都以为眞实，实实在在的存在，太眞实了。","但，可以如此的想：","“人会死。”","“事会过去。”","“物会坏。”","","地球上一切有形，避免不了“成住坏空”，有慧眼的人看见了瞬息万变，明白了“虚幻不实”。如果行者，能如此的思维，早晩就能够开悟，这就是最最最大的口诀了。","","忆持这种思维，第一重要。","忆持这个口诀，就可以远离顚倒妄想，远离贪瞋痴，远离烦恼。","也就是：","空寂外境。","灭了内心。","内外倶寂。","妄心何起？","","想一想“水中月”，想一想“镜中花”，想一想你自己在娑婆人间，你究竟能够得到什么？如此就能够大澈大悟了！","","《红楼梦》的词，我把它缩短：","陋室空堂，当年笏满床。","衰草枯杨，曽为歌舞场。","我","脂正浓，粉正香，两鬓又成霜。","金满箱，银满箱，转眼乞丐人皆谤。","正叹他人命不长，","乱烘烘，","你方唱罢我登场。","甚荒唐。","","","","哪知自己归来丧。","",""
"003 见地与修心","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c003","先讲一个笑话！","","有一位痩弱的徐太太再度当选了妇女会的会长，她上台致辞时很幽默的说：","“我连当了几届的会长，每个人看到我都喊『会长、会长』，可是我仍然这么的矮，不『会长』了。”","","哈哈哈！","我实实在在的告诉大家，你若是一个“明心”的人，一定会知道：","不增不减。","不垢不净。","不来不去。","不取不舍。","“佛性”本来如此，不会长的！","我们修行人先要有这个见地，这个“见地”就是口诀。","","我再讲第二个笑话！","妻子说：","“有个男人，因为娶了两个老婆，被判处有期徒刑一年。”","丈夫说：","“这么好？我只娶了一个太太，却被判无期徒刑，终身监禁。”","","哈哈哈！","我告诉大家，这是一个“专一”的笑话。","我们行者最重要是“专一”。","先要认知“佛性”。","再来就要“忆持”，又称“保任”，这就是“专一”，“专一”是非常重要的。","","认知佛性的见地，专一的忆持，这个就是修心的功夫和口诀了。","认知是“理”。","忆持是“事”。","光是明白“佛性”是没有用的，那只是理上的开悟。你必须时时“忆持”永远不忘，而且“保任”它，这才是“事法”的功夫。","","我举一例：","灯只是外相。","要加上通电，灯才会光亮。","这通电是要专一的。(一直不能停电)","这是有了“见地”，但，你一定要去“修心”。有了“见地”只算是“教授”，对“修心”毫无益处，“修心”是实践。","","有一位禅师说：","开悟如骑牛。","修心是控制牛，不要去践踏菜园。","所以“发菩提心”，不要去伤害人，就是很重要的口诀了。","不要去伤害人！","还要去帮助人！","这是菩萨的口诀。","","我实实在在的告诉大家：","学佛最初——","是为了认知“佛性”。","学佛最后——","是为了“保任”这“佛性”。","这就是见地与修心了。","我","","“保任”与“忆持”就是一等一的口诀了。","你是否想要自由？","你是否想要自在？","","那你必须去找一位明明白白的师父，他教你最最最重要的口诀。","那这位最明白的师父又是谁昵？","他就在你的眼前。","","你是否想要快乐？","",""
"004 我们去看一场戏","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c004","一天，我们去看一场戏，这一场戏是《哈比人》。","里面的演员是：","哈比人。","半兽人。","精灵人。","恶龙。","","戏的开始是山下国王，去夺回先祖的权位及祖先的金银珠宝。","这个戏，无始也无终。在这场戏中，如果不连结《魔戒三部曲》，根本无始也无终的。","","戏中打斗很精彩。","我们的心融入那惊险的打斗之中。","后来，电影结束了。吁！我们呼了一口气，我是我，电影是电影。","","结论是：","“我们只是看一场戏！”","","我在这里告诉大家，“人生就是一场戏”，这就是“口诀”。","行者以旁观者的心态来看一场戏，这场戏不管如何，你始终是一名“旁观者”。","那你反观自己，你自己的一生，从生到死，还不是一场戏吗？","你要醒悟，你也是一场戏，如果以旁观者的身分来看自己。","你就会有悟境。","","你哈哈哈大笑，原来如此，原来如此，看一场戏，演一场戏。","戏结束了，应该就“开悟”了吧！身心不是解脱了吗？","我们最好是“旁观者”，保持这样，你就是一个清清楚楚的明白人。","就算你是主角，你也明白，这只是一场戏，你身心就自由自在的解脱了。","","有一个笑话是：","陆先生与陆太太去逛街，逛街回来，陆太太高兴的说：","“刚才在路上，好多男人看我哩！”","陆先生冷冷的说：","“让他们看吧！否则一回到家，根本就没有人看你了！”","","哈哈哈！","大家从这个笑话，能意会到什么吗？","你活着，就是演戏、看戏。","你死了，戏没了，戏没了。","","人总是难免一死的，在归于黄土的一刹那，名利、地位、权势、美女，都将易主。有生必有死，这是宇宙间顚扑不变的眞理。","你是演戏者。","你也是一名旁观者。","","老弟！","轻轻松松的过日子吧！何必那么紧紧张张的做什么？","这世间上，有什么是重要的事？","不过是一场戏而已！","","我这篇文章的口诀是“一场戏”，也只有这样，你才能以“无事”的心情，“无心”的态度，进入“专一”的三摩地(禅定)。","","你如果还是：","那","无明。","烦恼。","散乱。","斗争。","唉！我还有什么话，可说呢？","","","","","固执。","",""
"005 心安就是平安","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c005","期，我经常走过市政路(台中)，看见正在兴建的一栋大楼，上面挂了大布幔，写着“心安，平安”。","","这让我想起，在机场的贵宾室，圣严法师写的六个字：","“心安就是平安”。","","我看了，哈哈哈大笑！","其实圣严法师写的“心安就是平安”，这六个字没有什么错，是对的。","但是——","他忘了，只要是人，心都是不安的，人人都有烦恼，如何能心安呢？","","我举二个笑话：","其一：","老王恭喜小李：","“恭喜你们，有情人终成眷属了，恋爱终于有了结晶。”","小李苦笑的说：","“唉！结婚三个月，太太有了身孕。看来眞的是，有情人终成『倦属』了。”","","其二：","有一个病人对医师说：","“我很烦恼，我显然得了失忆症，我该怎么办才好？”","医师说：","“回家去吧！你只要忘了这件事，就好了！”","","哈哈哈！","我会心的笑了，这是二则笑话，但也是一种事实。这证明，烦恼处处都在。","","要人“心安”不易！","我这里有一个口诀，这是我已说过的，我常常说的：","一、每一个人都会死。","二、凡事都会过去。","三、任何物，都会坏。","我常常想这三句话，只要想这三句话，心就能心安了。","所以这三句，是心安的口诀。","","我一生遭逢很多人、很多事、很多物，一波未平，另一波又起，永远无止无休…..。","我只想这三句口诀。","心就安啦！","","所以：","心安，平安。","心安就是平安。","这是圣严法师喊的口号。","而我只用口诀，人都会死、一切事会过去、任何物都会坏。","心自然安。","","光叫人喊口号是不行的，你要教导众生，如何才能心安啊！","或许你还不知道这三句话的来源，这三句话是释迦牟尼佛悟出来的眞理：","无常。","无我。","涅槃。","寂静。","近","","有人说：","“卢师尊说的是虚无主义！”","“不！”","","我是用“身心自在(心安)，了无牵挂的态度，去做好一切的人事物。我很努力的去弘法、修法，这是菩提慈悲。但，成果不放心上，这是一种佛陀教的终极智慧。”","我懂这个。","所以，我没有烦恼，一切无所谓了！","","我说：","",""
"006 开悟之后的改变","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c006","先讲三则笑话：","","有一位太太，她照一照镜子，很生气的说：","“我几乎好像愈来愈老，愈来愈难看了。”","丈夫在旁，冷冷的说：","“我不喜欢妳这种不置可否，不敢肯定的语气和态度。”","(这是岁月的改变)","","又：","甲对乙说：","“我太太常说，结婚可以改变一个男人，使他成长，学到很多事。”","乙说：","“说的也是，结婚后，我学会了洗衣、买菜、烧饭、家事。”","(这是婚后的改变)","","又：","太太问先生：","“结婚前，你和我见面，总是会说，你的心总是小鹿乱撞，现在还有这种感觉吗？”","先生答：","“已不会了！”","“为什么？”太太问。","先生答：","“小鹿早已撞死了!”","","哈哈哈！","我举这三则笑话，是谈“改变”二字。然而，开悟之后，是不是能够眞有力量，改掉行者的习性与烦恼呢？","","我们常说：","“山可移，本性难改。”","“人的习性根深蒂固，人的固执，要改变，非常不容易。”","我常常说，水可以灭火，但火势很大，水很少，杯水车薪，如何灭？","又，火可以煮沸水，但只有星星之火，要煮沸一浴缸的水，要煮到几时？","","这累世的业障、累世的习性、累世的因缘果报、累世的七情六欲，岂是你刚刚一开悟，就可以脱离“金钱、权势、名誉、地位、情爱、享受”的纠缠？所以才有“悟后起修”。","","然而修得成，修不成，还要看你自己的定力与智慧够不够。(很多悟者仍然有贪、瞋、痴、疑、慢。)","","你明白：","每个人都会死。","每件事都会过去。","每种物都会坏。","但，诱惑来时，你是不是能“立断”呢？你明知一切无所得，但，你是不是能够“超越”呢？","","这就是：","“悟后起修！”","","你要修到：","能够到达彼岸。","能够解脱烦恼习性牵缠。","能够了世俗，出世成菩提。","这的的确确是不容易的，所以我用的口诀就是“精进”二个字。","我","“精进”是一生的事业，六度万行离不开“精进”二个字。","","我有很多“开悟明心”的弟子，但是，仍然很多位的种种表现，仍然在“世俗”当中，要脱离六道轮回非常困难，我奉劝圣弟子，要“精进”，要能够“立断”及“顿超”，如此才能佛性自显。","也要“渐修”。","","","","","","要“顿悟”。","",""
"007 佛性是自然显现的","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c007","人问我：","“你是如何见证佛性的？”","我答：","“自然。”","","人问：","“为什么是自然？不是要很精进的去发觉它吗？”","我答：","“不！只要把妄念去除，佛性就在那里了。”","","我强调：","佛性恒在。","无垢光明。","不假修持。","(佛性不是修出来的，而是，只要精进的达到无念，佛性自显。)","","说得明白一点是：","云散水流去，寂然天地空。","人牛具不见，正是月明时。","","最重要的口诀是：","“不用求见证佛性，只将妄念息了即是也。”","","我讲二个笑话：","妻子问：","“你对一夫一妻制，看法如何？”","丈夫答：","“赞成一半。”","","妻子问：","“怎么说？”","丈夫说：","“我赞成一夫，反对一妻。”","(哈哈哈！我也赞成一半，只要妄去，不用求眞。因为妄去了，真就自然显现。)","","又：","甲问乙：","“你不是有一辆新的跑车吗？为何每次和太太出游，仍然开着那辆破旧的老爷车？”","乙答：","“唉！唯有那辆老爷车的响声，才能压制太太的唠叨声。”","哈哈哈！","只要唠叨声没有。","清净的佛性就自然显现了！","","我说：","《心经》里面有一句：","“远离颠倒梦想，也就是究竟涅槃。”","要离开颠倒梦想，千万不要执着：","一、虚妄不实的人间，以为是眞实的存在，而且会永恒的存在。","二、把世俗的快乐认为是追求的目标，紧紧捉住财、色、名、食、睡，且认为这就是人生快乐的根本。","三、一天到晚在比较分别，分别正邪、好坏、对错、美丑、是非、分合…..，生活在二元次第对立之中，妄念无法止息。","有","四、以“自我”为中心，认为眞正有一个“我”，以为肉体的我，就是眞实的我，一切只为这个我，产生种种的颠倒妄想。","","修行口诀是：","二、无有苦乐。","三、眞如绝对。","四、我是无我。","","我是一个清清楚楚，明明白白的人，诸圣弟子把口诀牢牢的记在心中，去精进努力的实践，自度也度他。","","一、人间是幻。","解脱及菩提，尽在其中。",""
"008 般若的最终极","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c008","先说一则笑话：","甲说：","“我和太太几乎天天吵闹打架，上一星期一次激烈的拌嘴之后，我们足足有一星期没有吵嘴，这星期过得眞是惬意。”","乙问：","“你们已经和好如初了？”","甲说：","“和好？怎么可能！她离家出走，到今天还没有回来哩！”","","哈哈哈！","我为何讲这一则笑话呢？我是这样子比喻的，我把太太比如是“烦恼”，一个人老是跟“烦恼”在一起，互相纠缠不休，无有尽期。","","一直到有一天，“烦恼”走了，这一个人才能过眞正惬意的日子。","如果“烦恼”永远不归，那才叫“清净”。","好了，故事说完了，现在说正点的。","","释迦牟尼佛在菩提树下到底开悟了什么？我如此认为：","祂开悟了“如来”。","“如来”的本义是“好像有来”。","这“如来”二字的意义重大。","好像有来。","好像没来。","似有似无。","像又不像。","","我常常比喻“水中月”：","虚空中有一个又圆又大的月亮，投影在平静的湖水中，湖中也出现了一个月亮。","(千江有水千江月)","月亮在水中是有吗？","眼见是有。","月亮在水中是无吗？","捞之则无。","","我说：","般若的最终极就是如此。","","释迦牟尼佛说：","说法四十九年，未曾说过一个字。","若有人说，佛有说法，即是谤佛。","见相非相，即见如来。","凡所有相，皆是虚妄。","无所得。","无所说。","所谓佛法者，即非佛法。","应无所住而生其心。","无我相，无人相，无众生相，无寿者相。","一切诸相即是非相，一切众生即非众生。","菩萨通达无我法者，如来说名眞是菩萨。","一切有为法，如梦幻泡影，如露亦如电，应作如是观。","","我告诉圣弟子及大家：","这就是般若的最终极。","我","","我说：","般若成佛道，","善恶均是业，","六道由业生。","","我如此说，已经够清楚了，再清楚不过了。我最喜欢“如来”这二个字，好像有来，好像没有来，如果能意会，开悟没有问题，“如来”二字，就是我卢师尊的口诀。","用“如来”口诀，去看《金刚般若波罗蜜经》，一切皆知，一切皆明。","","反之成魔精；","",""
